# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tmpwecy8pwh_model
# start_datetime = 2026-05-01 14:59:25 UTC
# method = laplace
#   laplace
#     mode = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260501_155911/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace_optimize/bayes_gp_rbf_screened-20260501155922.csv
#     jacobian = false
#     draws = 2000
#     calculate_lp = true (Default)
# id = 1 (Default)
# data
#   file = /var/folders/_z/jd9jlzfs0md6nvlwttph63x00000gn/T/tmpa8cj8_xa/b_wwe00e.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260501_155911/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace/bayes_gp_rbf_screened-20260501155925.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=bayes_gp_rbf_screened.stan
log_p__,log_q__,alpha,signal_scale,lengthscale,sigma
-333.77968,-0.1992573,-5.2822038,5.7368552,3.7531649,0.65431775
-335.72206,-1.7043949,-3.7149815,5.2632562,3.479024,0.62448185
-337.14973,-3.7726439,-5.4579376,5.1441774,3.1082934,0.57680861
-338.24573,-4.3608622,-6.8438144,4.7907341,3.1340259,0.65965009
-336.0216,-2.9508912,-4.1223196,8.0765523,4.3289377,0.64886105
-335.76735,-2.1571782,-3.3120108,5.9264604,3.7016247,0.67278554
-337.83335,-4.1769401,-1.4858269,5.8676579,3.8898544,0.6568234
-336.42193,-2.8368149,-7.3009309,5.9971056,3.6987207,0.6796846
-334.17734,-0.63407263,-4.1220906,6.7253234,3.9989001,0.6165224
-335.32391,-1.6641192,-5.0678824,6.1985676,4.0683947,0.61813688
-344.1251,-8.6556854,-0.69765266,5.7344182,3.3371316,0.61078283
-333.83958,-0.28291636,-5.54412,6.3951334,3.9514022,0.6459738
-336.18984,-2.3734609,-5.0341177,4.9686975,3.2480615,0.59625647
-336.91303,-3.1393144,-3.9519825,6.925633,4.400392,0.61929871
-334.46826,-0.88064207,-4.864285,5.8035863,3.6198052,0.59585233
-334.53789,-1.1245621,-3.6387086,7.1394448,4.0519917,0.62451362
-335.89418,-2.0065966,-6.9563822,5.2156524,3.5607856,0.68044753
-342.50838,-6.9389021,-8.9723746,5.2408744,3.1523862,0.63377009
-339.92545,-5.5915372,-1.6459975,5.374468,3.8716389,0.670274
-336.96524,-3.3763426,-3.3187234,6.3486707,3.469262,0.60020498
-335.30099,-1.7483886,-4.892565,5.4757494,3.5888736,0.68390292
-334.79066,-1.1857802,-3.4610024,6.1425545,3.6443977,0.61657898
-334.45285,-0.82239615,-6.0020208,5.4390192,3.6604373,0.66889629
-334.97925,-1.2209372,-4.7580247,5.1338868,3.5621576,0.63350459
-337.45339,-3.9989707,-4.157092,7.0687167,3.6855023,0.63419976
-334.16365,-0.5881746,-4.5773151,5.9557132,3.8376509,0.67163136
-334.79344,-1.2804572,-6.2958953,6.2087041,4.0180253,0.67979769
-336.35617,-2.1280369,-7.2393862,5.1128657,3.319708,0.61592263
-334.91332,-1.4884926,-6.4222404,6.6129442,3.9181383,0.65846353
-335.43667,-1.734949,-5.0197556,5.1536108,3.6830177,0.63307987
-334.867,-1.2975845,-4.0654138,5.953878,3.8597873,0.68510781
-334.92857,-1.3690555,-5.1719021,6.9319109,4.1591814,0.61465197
-334.04277,-0.42288212,-6.0990019,5.6856896,3.6213183,0.64178197
-333.62639,-0.049365348,-5.2828415,6.0868209,3.8490291,0.64432311
-334.83175,-1.0946569,-4.321416,5.359509,3.47158,0.63471662
-339.17049,-5.8804015,-6.579506,6.6122045,4.5680737,0.65817536
-334.38732,-0.80569181,-5.4182459,6.3206674,4.0793696,0.63936048
-336.26055,-2.5127432,-6.995881,5.4710097,3.4522013,0.66670331
-333.99731,-0.41236302,-5.8259657,5.8144189,3.8364416,0.6601795
-336.06442,-2.2048596,-3.6082807,5.5558098,3.4113992,0.59398862
-334.60909,-0.99763802,-6.0554244,5.9009121,3.6803772,0.59965869
-335.49797,-1.9431351,-3.068192,6.0313558,3.835994,0.67571294
-334.64774,-1.1124296,-6.0050315,6.529001,3.739224,0.61030862
-335.5145,-2.1485175,-2.6987314,6.2903028,4.0883328,0.67455345
-336.57766,-2.2104346,-7.6650186,5.1872714,3.4241184,0.6432433
-337.51654,-4.0487015,-6.496089,6.5410714,3.48633,0.57008382
-334.91907,-1.4612263,-4.2673334,7.1457222,4.2761248,0.67204821
-333.97507,-0.39077977,-4.8865986,5.7761542,3.8077287,0.63071818
-334.85117,-1.2814522,-4.6824293,6.348556,3.5967526,0.61669918
-335.83604,-1.9254003,-3.058777,5.6636761,3.5418191,0.6273872
-333.91842,-0.35764921,-5.5793258,6.3771208,3.9056651,0.62419052
-335.53996,-1.5701933,-3.9429339,5.1843041,3.5085537,0.64060695
-336.80955,-2.9781055,-7.922329,5.9497456,3.6019182,0.60070192
-336.06029,-2.5030786,-3.0685768,6.4293245,3.5988576,0.59197953
-336.45251,-3.098187,-6.5765591,6.2984751,4.3056746,0.67740304
-337.50891,-4.083914,-2.9294116,6.8278451,3.7988876,0.55700662
-334.18165,-0.62400992,-5.4170129,6.5550312,3.9453978,0.61427138
-339.27389,-5.9660711,-4.9745043,4.8884206,3.1096897,0.6693426
-334.29503,-0.64492164,-5.9969587,5.4860261,3.548549,0.61652961
-335.0147,-1.4542715,-5.0545236,6.118074,4.1608141,0.68348016
-336.15255,-3.3439812,-2.17291,7.737336,4.268501,0.60874065
-334.3755,-0.8242709,-5.4688774,5.8533191,3.5188794,0.62882438
-334.38561,-0.81363679,-3.8630608,6.1360601,3.7253988,0.64676984
-334.33478,-0.82196153,-4.0980122,6.9128335,3.9384254,0.61567267
-336.12086,-2.659088,-4.672645,6.532835,3.9056674,0.69754446
-335.96019,-2.4529732,-4.4416013,6.0895243,3.4541614,0.62803731
-336.41411,-4.019836,-1.5052536,7.6603283,4.3941118,0.63713904
-335.68165,-2.4246608,-3.099585,7.6089417,4.4381615,0.63586476
-338.18329,-3.6247934,-7.1869615,4.8515704,3.4419168,0.59995408
-336.5825,-2.8506255,-5.5112994,5.5011649,3.6935149,0.58542662
-335.61268,-2.4532944,-6.8835171,6.8485714,4.0909371,0.66912793
-335.24402,-1.6067175,-4.4403402,6.6783325,4.0584372,0.59823077
-338.88356,-5.0762699,-6.0555271,6.2430601,3.8558854,0.5564114
-334.03883,-0.47422955,-5.0353962,5.9241756,3.618952,0.64053676
-338.93903,-3.8388403,-8.0817615,4.8595798,3.3009558,0.66512574
-336.93674,-3.8086496,-1.9612917,6.9388477,3.7863007,0.58891321
-334.68348,-1.1382405,-5.5125142,6.4691313,4.1941361,0.66252441
-334.30138,-0.79499888,-3.8204637,6.7299303,3.8773029,0.62788158
-334.36059,-0.80814056,-4.603059,6.9347093,4.1779338,0.63427554
-335.97793,-2.6384827,-5.321167,7.2581267,4.041118,0.66966595
-335.62037,-2.0261852,-4.5411946,5.3986491,3.4203551,0.65803548
-334.24485,-0.70085902,-4.0493556,6.3216619,3.9185101,0.6657718
-335.71568,-2.5023844,-3.3992365,7.7427952,4.1204379,0.60467361
-334.52068,-0.99501188,-4.1953528,6.6695037,4.1182146,0.6749682
-337.10035,-2.9039655,-7.6684975,5.4037363,3.585669,0.60208051
-334.40503,-1.0035558,-3.2175762,6.7659619,4.0513407,0.63397036
-335.43837,-1.7904046,-4.865678,5.7824904,3.7862681,0.59515592
-334.34476,-0.70613019,-4.4040376,5.6003269,3.5258631,0.62595164
-335.15283,-1.7180856,-6.1907142,6.7086518,3.8819784,0.65753385
-338.84991,-5.2027889,-4.3297098,5.038946,3.9639065,0.72367821
-334.41405,-0.84666534,-4.1075911,6.4086553,3.8587594,0.60123606
-335.51534,-1.7089954,-6.3325225,5.2627877,3.5516214,0.60468792
-334.01469,-0.43772679,-5.5425958,6.1342398,3.6564776,0.62022424
-334.51016,-0.95593892,-3.9757814,6.2413064,4.1003315,0.65514601
-334.32978,-0.71669762,-6.0961932,5.8215316,3.7529227,0.61678127
-334.10393,-0.49442385,-6.0340016,5.6558418,3.7609068,0.65861784
-335.18183,-1.6572457,-5.6183705,5.928016,3.430155,0.5941091
-334.49418,-0.8742706,-5.1909127,5.4873398,3.6184072,0.60943008
-335.61497,-2.201845,-7.3602278,6.3811046,3.8167226,0.6510969
-334.06397,-0.48682143,-5.0423439,6.1156309,4.0118204,0.66316238
-334.18648,-0.61548819,-5.5945075,5.6451502,3.6004845,0.65626287
-333.71275,-0.13791141,-4.9119544,6.4192629,3.933485,0.6324639
-336.08159,-2.4285429,-4.0563467,6.9097663,4.1187293,0.58836179
-334.66723,-1.0571002,-5.2266257,6.0966062,3.8586901,0.60244579
-337.66385,-4.7785516,-6.0983834,7.8933762,4.1027714,0.57731226
-335.19947,-1.3958555,-5.1786118,4.9814883,3.4656798,0.62986791
-335.67809,-2.1697324,-3.9999466,6.4223205,4.2502256,0.70227856
-335.05311,-1.7548875,-6.4594397,6.9486536,3.9589944,0.63050121
-335.10392,-1.5823477,-3.8873846,6.3027925,4.0754186,0.69290182
-334.60341,-0.99979515,-4.8244414,6.6612756,4.1907174,0.63632425
-334.45992,-0.88261814,-5.0887638,5.4627575,3.5421414,0.65846345
-337.56322,-4.4442347,-4.4619499,7.7342205,4.1209329,0.67908268
-334.14121,-0.62312621,-5.91382,6.4594178,3.9870034,0.65460656
-335.49226,-1.9464408,-5.0917348,5.8886623,4.1142607,0.69909837
-334.27418,-0.69423471,-5.9611005,5.9304927,3.9110405,0.63827013
-334.02554,-0.45837787,-5.247456,6.3719519,3.9893688,0.66533928
-334.32596,-0.79606664,-4.5352611,6.8536403,3.9318222,0.64117456
-335.03599,-1.5469739,-7.1422263,6.1872089,3.8801328,0.65667092
-333.84065,-0.27591824,-4.9365093,6.6062337,3.9625523,0.62906743
-335.31583,-1.7674598,-4.4018768,5.986727,4.1285963,0.69206801
-337.23475,-4.0346923,-6.3590886,6.9180158,4.0821009,0.70688885
-334.76917,-1.1896069,-4.3778361,6.6038881,3.8996462,0.5926808
-335.37353,-1.8324603,-3.8678954,6.1282531,4.1843884,0.66539347
-334.81651,-1.2599726,-4.3840853,7.0364549,4.3036975,0.64299217
-335.03281,-1.5185985,-3.7212743,6.7925179,3.9327324,0.5917847
-340.04505,-4.3078925,-8.5997383,4.783279,3.5011516,0.653552
-333.84799,-0.26325164,-4.5377679,5.9447713,3.6601117,0.62485177
-336.03527,-2.082447,-6.9660415,5.2433385,3.299118,0.61332263
-335.85102,-2.3206289,-6.7729201,6.0610833,4.050623,0.63327325
-337.55314,-3.5916447,-3.1837643,5.3210628,3.8184208,0.62817166
-335.01435,-1.3986848,-3.8285261,5.6956195,3.908746,0.64533069
-335.4709,-1.8709727,-5.8768144,5.7691241,3.5159222,0.57765841
-334.10295,-0.50224445,-4.609546,5.7178913,3.5887021,0.61304067
-334.2463,-0.69967472,-6.2249423,6.2821585,3.8007235,0.64491703
-335.01101,-1.4652978,-6.8028312,6.2971477,3.6991468,0.62958395
-337.44667,-3.1153212,-6.9154684,4.6609012,3.2525084,0.66391155
-334.1212,-0.54253223,-4.5694673,6.0760518,3.6752436,0.60380269
-335.11531,-1.557006,-5.5171235,5.8632106,4.0811161,0.66471006
-334.57894,-1.0026105,-6.4878216,6.2015665,3.6824459,0.62682587
-335.64858,-2.2824159,-4.5044244,7.4661867,4.4487962,0.67831389
-334.4461,-0.98490478,-5.8762731,6.7857872,4.0285833,0.62353507
-335.35196,-2.1697251,-5.5381391,7.597447,4.2490871,0.64321811
-336.63091,-2.9941238,-5.8675001,6.6323123,4.0919914,0.59085388
-335.59136,-2.1770212,-5.3178883,7.1295954,4.4321536,0.67483524
-334.31934,-0.85691016,-6.0046812,6.7094317,3.972407,0.63055295
-335.58807,-1.7551664,-5.4459807,4.9062942,3.5197598,0.6345323
-335.02078,-1.5985653,-5.2765575,7.2733583,4.1062162,0.60875773
-334.02051,-0.43848568,-4.905402,5.7013621,3.827625,0.64412749
-335.14332,-1.556974,-4.1843977,6.0147941,3.5408289,0.58507537
-334.71701,-1.1406057,-5.4499039,6.3394556,3.7741584,0.59057112
-336.8713,-3.4685361,-3.4457398,6.4335501,4.1490553,0.72198189
-335.76042,-2.3675019,-7.683568,6.2987543,3.8592292,0.62968569
-333.64199,-0.064698043,-5.2043025,6.1493125,3.7702002,0.6286324
-335.45422,-2.1291109,-3.794017,7.3916758,4.0642275,0.65152234
-336.5133,-2.5680782,-7.250301,5.4454678,3.3169025,0.61973013
-334.52642,-0.79256479,-6.365715,5.358933,3.5054697,0.62799396
-335.7526,-1.9498145,-6.6310138,5.1534821,3.6856222,0.68515657
-334.27866,-0.77728032,-3.9229441,6.7589733,4.121785,0.65850581
-336.26346,-2.7184636,-3.3337005,6.5129916,3.579483,0.61237687
-334.3181,-0.68829639,-6.3147453,5.7517225,3.598582,0.64268055
-334.83739,-1.4561524,-4.2791121,7.4729893,4.2059136,0.64119883
-333.85085,-0.27141918,-5.3406828,6.0798225,3.7802106,0.6156181
-334.02686,-0.44365463,-4.5491186,6.405091,3.9570364,0.61917857
-337.65354,-4.1644644,-3.7596445,7.0387043,3.6156108,0.61081264
-336.42628,-2.3743535,-6.1981067,4.6753437,3.3459728,0.66216901
-334.79773,-1.1592359,-6.7348826,6.0024717,3.6088114,0.62320325
-334.85175,-1.3554466,-5.7395635,6.7877966,3.8700137,0.59863536
-334.31802,-0.74677578,-4.573873,6.095503,3.9237663,0.67860883
-335.04944,-1.1755647,-6.7701943,5.2326644,3.5818278,0.64365977
-337.9456,-3.2502744,-7.8473229,5.1168853,3.4342875,0.60026238
-334.85635,-1.2624364,-5.1923862,5.6313679,3.8982751,0.63703074
-335.74558,-2.3987215,-5.9606291,7.1381758,4.3325576,0.63152431
-336.36102,-2.2637039,-7.0661661,5.218022,3.3821591,0.59571594
-335.59123,-2.1974157,-5.6195868,7.2412518,3.9045361,0.59768676
-334.96335,-1.2426484,-7.0192395,5.7946595,3.6098215,0.64095882
-335.11773,-1.2750553,-4.2025502,5.2109357,3.5473193,0.64507854
-334.75154,-1.1384943,-5.2700319,5.3921327,3.4362849,0.59972115
-335.6826,-2.0045631,-5.0214644,6.2107202,3.9442732,0.5929683
-334.49297,-0.90458288,-4.3837244,6.3427369,3.871715,0.59992626
-334.27426,-0.6659215,-4.4596494,5.6466564,3.7227378,0.66490934
-337.74214,-3.7312418,-3.4323009,5.3877894,3.6549464,0.58797376
-335.54113,-1.9783502,-3.195044,6.3235888,3.6564329,0.58907949
-334.87329,-1.3527935,-3.8036254,6.4267753,3.7663249,0.6520425
-334.2133,-0.70005081,-5.3268404,6.8592118,3.9666812,0.62563519
-333.94489,-0.38237999,-4.2059031,6.3974094,3.8577205,0.61605072
-334.87119,-1.3738874,-5.3545798,6.8347572,3.9118493,0.65538867
-335.80371,-2.057665,-3.6955703,5.7046589,3.4213199,0.59568881
-333.77228,-0.19581,-4.4045963,6.144904,3.7565491,0.63439089
-336.16514,-2.9588457,-5.0640847,7.6483598,4.1612836,0.66372022
-337.36883,-4.2249415,-1.3661534,6.2921956,3.9559273,0.66850156
-335.23854,-1.6807168,-4.1141134,6.0084917,3.95232,0.69774256
-335.42686,-1.7545389,-3.4413671,5.9933026,3.5342758,0.60111872
-334.33877,-0.80749159,-6.5386408,6.2481781,3.8344288,0.63104312
-337.90772,-3.9920712,-1.4838988,5.867949,3.7207734,0.63042127
-336.5679,-3.3837014,-2.3316927,6.4310805,4.2966386,0.67604796
-335.57981,-2.0253704,-7.3326893,5.9968614,3.8712971,0.67527924
-333.98624,-0.46638743,-3.8732214,6.6097286,3.9928431,0.63432174
-333.87773,-0.28890146,-5.7601768,5.7563685,3.7907919,0.65209817
-335.49825,-2.1289183,-2.9212891,6.38759,4.186668,0.6766633
-334.33727,-0.75339948,-5.723951,5.8083408,3.9066771,0.64173762
-335.12248,-1.6495898,-6.1346272,6.6715556,3.9183648,0.59774072
-334.95223,-1.4427599,-5.5592627,6.7968762,4.2659341,0.64762816
-334.30331,-0.70525626,-6.0157258,5.956731,3.6696378,0.60575018
-335.61016,-1.6711678,-6.522174,5.0698173,3.3882711,0.60899403
-333.86438,-0.2755834,-5.8359314,5.8149043,3.8001587,0.64330097
-334.95122,-1.3895666,-5.021118,5.7323082,3.9981681,0.68641778
-334.93549,-1.609644,-3.4350062,7.2528473,4.0578731,0.64039664
-334.65459,-1.0320329,-6.9008573,5.899679,3.7869356,0.65349124
-335.89333,-2.0570665,-5.2115958,4.8599738,3.5715279,0.6664036
-335.16357,-1.6800742,-3.6356489,6.9205403,3.797547,0.6073331
-334.67509,-1.1052804,-5.1241543,6.1662861,4.1344698,0.67296755
-334.62893,-0.97732473,-6.5290848,5.7982413,3.5578847,0.63420134
-335.09987,-1.6173802,-6.7921226,6.1708469,3.9831983,0.67756145
-334.29785,-0.74229777,-4.8467091,6.8671232,4.1516173,0.63358415
-336.51156,-2.5643172,-5.9471944,4.7403795,3.5652451,0.65643584
-335.09854,-1.5856404,-5.8132581,5.559723,3.4420494,0.65193008
-337.86093,-5.231814,-5.7467408,8.0388611,4.7311026,0.69720147
-335.52238,-2.2758438,-4.8314857,7.7914502,4.1865066,0.61924874
-335.03981,-1.4529012,-4.2071122,5.652337,3.9467947,0.67663667
-334.03867,-0.47043739,-4.7741456,6.6985097,4.0510403,0.62778572
-334.41356,-0.86520545,-5.1577641,6.5302907,3.967156,0.67145187
-336.70835,-2.9404287,-6.3886911,5.0352906,3.693309,0.70896524
-335.06935,-1.5368492,-5.5317926,6.7942081,3.7559549,0.62135473
-335.95711,-2.0632083,-3.6756166,5.2991104,3.6862117,0.62781772
-334.75855,-1.2444251,-5.1564062,6.8805813,4.2759844,0.66561349
-334.7229,-1.0026118,-5.979119,5.1461055,3.4176376,0.62885907
-335.10958,-1.571259,-6.0413003,5.7443808,3.5202578,0.65746566
-335.43018,-1.6273797,-6.0799045,5.0362611,3.3273009,0.60832942
-339.17986,-5.6730328,-3.0759342,6.3546139,3.3838716,0.54878875
-336.01582,-2.3335477,-5.3753025,5.9770538,3.8399277,0.58619745
-336.54966,-2.9446247,-3.8313342,5.929751,3.3599244,0.59170057
-335.59162,-2.0184675,-4.5695058,5.7520673,3.963302,0.70741469
-337.70522,-4.224359,-4.103022,6.44191,3.5113135,0.54709149
-333.83336,-0.23941397,-4.5347509,5.7517433,3.7389715,0.64407077
-334.12168,-0.54212026,-5.7379959,6.1024875,3.6381864,0.6164433
-338.57826,-3.5820644,-8.5858464,5.1670836,3.5065267,0.65941271
-338.49263,-5.0356855,-5.3574246,7.0998936,3.549015,0.56597424
-335.97402,-1.9751729,-6.2883547,4.7715455,3.3557612,0.65311472
-334.88315,-1.3691234,-3.811856,6.9426233,4.307512,0.65020851
-335.35557,-1.5712653,-6.2334162,5.1893524,3.609921,0.62113096
-336.14097,-2.4806175,-5.7159341,5.5311,3.5094286,0.57290581
-337.02325,-3.515356,-6.6449759,6.535498,4.0069121,0.58620041
-339.31669,-4.713116,-8.6213093,5.3309327,3.5643726,0.69185134
-336.35414,-2.6325105,-4.1651992,5.6092662,3.5890753,0.57606825
-337.92175,-4.9094344,-5.6090486,7.8317242,4.012281,0.65230878
-337.94134,-4.1568641,-6.0179476,6.1496725,4.1586964,0.60741968
-334.82274,-1.1880664,-6.5864049,5.8963008,3.7470374,0.61030701
-337.83321,-3.4417731,-2.5774152,5.2657255,3.6734988,0.66440178
-336.38695,-2.5936121,-4.7395038,5.1652432,3.3652244,0.58088894
-333.84148,-0.26301755,-4.9100983,5.9070357,3.667972,0.61431933
-335.55398,-2.0143675,-5.1215696,6.8336676,3.7945277,0.57810193
-334.49255,-0.94037456,-6.3402757,6.2387669,3.756705,0.64828011
-335.02414,-1.4624976,-4.5405937,6.0842576,3.9568512,0.69682864
-334.91137,-1.3243616,-4.3837875,5.9783785,4.0662711,0.64731227
-336.54452,-3.0936251,-5.5594083,6.3893891,4.3725728,0.71002237
-336.45186,-2.7542742,-7.5307162,5.5984437,3.9262208,0.67723175
-335.7063,-2.12758,-3.0425065,5.8305592,3.9692921,0.67551148
-338.1693,-3.9319174,-7.6552572,5.3134398,3.1936545,0.60693424
-335.5891,-2.1421451,-2.7351253,6.4984067,3.7757544,0.59410649
-333.81306,-0.23802095,-5.2026934,6.2109361,3.9008092,0.65882806
-333.89236,-0.33792242,-4.1357334,6.409671,4.0004807,0.64323316
-336.98648,-3.5678436,-5.0920038,7.3992074,3.8549803,0.56773712
-334.9716,-1.4477334,-4.3290848,6.5345479,4.0176042,0.68720039
-335.11522,-1.6136702,-4.3506227,6.6444528,3.9591898,0.68031902
-335.6192,-2.2664038,-3.4326603,7.4442048,4.1074952,0.59383415
-337.77407,-4.3456901,-6.404198,6.1825378,4.1479955,0.74027849
-334.35902,-0.80727999,-3.7574796,6.3375825,3.7492847,0.63401639
-335.47515,-1.919573,-3.8340142,5.8904968,4.0932708,0.66080943
-336.80438,-3.5613791,-3.6145742,7.6168251,4.6648248,0.68966869
-333.88005,-0.31914042,-4.645487,6.6179003,3.9072138,0.63511481
-336.72867,-2.4824323,-7.4316243,5.0323692,3.5547795,0.67748994
-335.44269,-1.9338107,-3.0713259,6.3411127,3.721464,0.64540084
-335.49261,-2.1595834,-5.5922801,7.1772591,4.1550504,0.67572913
-335.18118,-1.8477816,-2.5508634,6.5969141,3.8640139,0.63127826
-335.12032,-1.6704112,-4.0110541,7.1707371,3.9232475,0.63171402
-334.69516,-1.0813934,-6.3041661,5.6756074,3.8245666,0.6788426
-335.3025,-1.7660305,-5.1951116,6.5166246,4.1194937,0.69985884
-334.84759,-1.4307341,-3.0713425,6.6740789,4.0490579,0.61624957
-335.50069,-2.1442403,-6.9162229,6.5955504,3.9115283,0.60523698
-333.76346,-0.18620279,-5.1917478,6.1991727,3.7323293,0.62382515
-335.57622,-1.9735116,-3.7785446,5.7847317,3.8214053,0.69358725
-335.25226,-1.7582427,-5.4195136,6.9864692,3.9521776,0.59075215
-334.38276,-0.83415451,-3.9781916,6.2224503,4.0691448,0.66243292
-336.26106,-2.7235452,-3.0413193,6.0909642,4.1199366,0.6339755
-334.79643,-1.2555563,-6.1313135,6.3606997,3.9429898,0.61061422
-335.07389,-1.501853,-4.9964562,5.4924957,3.9119653,0.68076619
-336.10939,-2.4046593,-2.5853751,5.7741427,3.8432105,0.66523634
-334.13195,-0.60500283,-4.1677772,6.7267224,4.079914,0.65596482
-334.56148,-0.95915324,-6.607629,5.8260199,3.8617459,0.66097328
-337.37229,-2.7067262,-7.3288444,4.8116644,3.3335841,0.6143055
-336.38722,-2.1595457,-7.0095285,4.9032083,3.288029,0.63427075
-334.76357,-1.2342464,-3.6544637,6.2595606,3.8009197,0.66189118
-334.52536,-0.94155657,-5.988227,5.8080506,3.7769859,0.6784119
-338.80394,-5.1280242,-5.0940642,7.0930492,3.9851371,0.54849715
-336.52529,-3.0591794,-4.8241417,6.3892488,3.5442892,0.64443488
-334.95611,-1.3592467,-3.7310287,5.9280457,3.7059608,0.66513099
-336.53173,-2.6991694,-2.8428301,5.8298123,3.5404933,0.64223432
-335.77557,-2.2954072,-4.6277061,6.8026197,3.8193182,0.66225865
-336.14225,-2.7458193,-4.81439,7.2820161,4.5262873,0.68977384
-336.48841,-2.3808826,-6.9186274,5.114634,3.4763217,0.60135226
-334.328,-0.75943737,-5.1636144,6.5075468,3.772145,0.60114699
-334.69231,-1.2889898,-3.9656656,7.3753752,4.2175649,0.63776673
-336.18817,-2.4525023,-7.3054334,5.6936609,3.6666541,0.68301126
