# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tmpwecy8pwh_model
# start_datetime = 2026-05-06 14:35:08 UTC
# method = laplace
#   laplace
#     mode = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_153459/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace_optimize/bayes_gp_rbf_screened-20260506153506.csv
#     jacobian = false
#     draws = 2000
#     calculate_lp = true (Default)
# id = 1 (Default)
# data
#   file = /var/folders/_z/jd9jlzfs0md6nvlwttph63x00000gn/T/tmpl428d0bz/nmskysre.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/Oliver/Documents/Computer Science/Year 13/MolADT/MolADT-Bayes-Python/results/freesolv/run_20260506_153459/details/stan_output/freesolv/moladt_featurized/bayes_gp_rbf_screened/laplace/bayes_gp_rbf_screened-20260506153508.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=bayes_gp_rbf_screened.stan
log_p__,log_q__,alpha,signal_scale,lengthscale,sigma
-327.45103,-0.39077977,-5.0864427,5.5957772,3.4938585,0.57051278
-328.33887,-1.2814522,-5.0343228,6.0682862,3.2753691,0.55520708
-329.32438,-1.9254003,-3.5144625,5.4569385,3.2391186,0.56686955
-327.39494,-0.35764921,-5.7374063,6.1455952,3.575977,0.56337702
-329.01164,-1.5701933,-4.2644139,5.032809,3.2261065,0.58135229
-330.42216,-2.9781055,-7.9701902,5.6859629,3.2568941,0.5378306
-329.6076,-2.5030786,-3.6264463,6.1028504,3.2411705,0.52839687
-330.05291,-3.098187,-6.4236739,6.1989677,4.0408798,0.62199164
-330.99539,-4.083914,-3.5345818,6.4263387,3.3699957,0.49086778
-327.65674,-0.62400992,-5.6091028,6.2966577,3.5976381,0.55256381
-332.7297,-5.9660711,-5.2629602,4.7478796,2.8845487,0.61304874
-327.78485,-0.64492164,-6.1798518,5.282075,3.2301016,0.55502239
-328.56811,-1.4542715,-5.0630409,6.0232846,3.9109279,0.62874888
-329.60157,-3.3439812,-2.6596163,7.3980189,3.8906564,0.54655041
-327.85189,-0.8242709,-5.7150303,5.628064,3.2195949,0.56844096
-327.85854,-0.81363679,-4.1805948,5.9363963,3.4397462,0.58812551
-327.8169,-0.82196153,-4.4363936,6.6215063,3.5933359,0.5540892
-329.62832,-2.659088,-4.7944047,6.3951499,3.6853917,0.64443543
-329.43959,-2.4529732,-4.8246417,5.8321269,3.1577878,0.56758029
-329.80862,-4.019836,-1.9628163,7.3971933,4.0580391,0.57754694
-329.15213,-2.4246608,-3.3941601,7.354002,4.0975541,0.57614975
-331.85851,-3.6247934,-7.2742577,4.6732492,3.107505,0.53702064
-330.04449,-2.8506255,-5.7560187,5.2706845,3.3186246,0.52132868
-329.07659,-2.4532944,-6.8108799,6.6681219,3.821498,0.61281088
-328.70534,-1.6067175,-4.7310301,6.3966472,3.6769403,0.53515498
-332.23752,-5.0762699,-6.3114436,5.9122796,3.4208871,0.49023324
-327.51338,-0.47422955,-5.2728099,5.7212009,3.3301922,0.58127523
-332.47484,-3.8388403,-8.0113302,4.7394057,3.0614565,0.6083792
-330.56543,-3.8086496,-2.6024232,6.5790863,3.409669,0.52508738
-328.20898,-1.1382405,-5.5285837,6.3222623,3.9098991,0.60550171
-327.78239,-0.79499888,-4.1689154,6.4676693,3.555019,0.56741002
-327.84072,-0.80814056,-4.790455,6.7031843,3.8486468,0.57440808
-329.4323,-2.6384827,-5.4339285,7.037344,3.7745841,0.61340706
-329.0824,-2.0261852,-4.8207598,5.2396608,3.1658997,0.60054181
-327.71787,-0.70085902,-4.268058,6.157492,3.6513599,0.60909421
-329.20092,-2.5023844,-3.819458,7.3745221,3.7454476,0.54213575
-328.01738,-0.99501188,-4.348012,6.5157989,3.8567221,0.61928787
-330.70854,-2.9039655,-7.7029329,5.1927382,3.2438377,0.53932426
-327.86873,-1.0035558,-3.5624437,6.5327888,3.7285687,0.57407373
-328.90158,-1.7904046,-5.1436043,5.5493522,3.4194048,0.53182895
-327.813,-0.70613019,-4.7357323,5.3955447,3.2221461,0.56530066
-328.6161,-1.7180856,-6.2572161,6.4948805,3.6042478,0.59998799
-332.33696,-5.2027889,-4.3149203,5.041151,3.779298,0.6737594
-327.88785,-0.84666534,-4.4657235,6.1328932,3.4962116,0.53840924
-329.0346,-1.7089954,-6.4884416,5.0644804,3.2160087,0.54215128
-327.49322,-0.43772679,-5.7727486,5.8878807,3.3363334,0.55904888
-327.99029,-0.95593892,-4.1621859,6.0906745,3.8086237,0.59735292
-327.81264,-0.71669762,-6.2283521,5.6113972,3.4214762,0.55529649
-327.5716,-0.49442385,-6.0794927,5.5169909,3.4905302,0.60118486
-328.65522,-1.6572457,-5.953081,5.6347836,3.088399,0.53069744
-327.9696,-0.8742706,-5.4411559,5.2820861,3.2850195,0.54729939
-329.07139,-2.201845,-7.3267724,6.1778376,3.5326644,0.59288921
-327.5534,-0.48682143,-5.1304193,5.9757655,3.7366078,0.60620719
-327.66429,-0.61548819,-5.7360847,5.4850232,3.3346251,0.59858517
-327.18816,-0.13791141,-5.1119684,6.1998963,3.6149995,0.57242377
-329.52976,-2.4285429,-4.4000703,6.5962869,3.7161866,0.52449261
-328.13395,-1.0571002,-5.4557249,5.8528161,3.4980538,0.53972016
-331.17282,-4.7785516,-6.3312552,7.4538569,3.6824306,0.51259926
-328.69514,-1.3958555,-5.4010482,4.8297051,3.1710938,0.56958243
-329.28943,-2.1697324,-4.0712952,6.3423003,4.0266977,0.64973059
-328.53149,-1.7548875,-6.5420643,6.6809841,3.6359867,0.57027535
-328.62107,-1.5823477,-4.0267168,6.1973299,3.842846,0.63924987
-328.09754,-0.99979515,-4.9667502,6.4585411,3.8641071,0.5766535
-327.9368,-0.88261814,-5.2796921,5.3136283,3.2821798,0.60101437
-330.9846,-4.4442347,-4.6429455,7.4993824,3.8657008,0.62385799
-327.61804,-0.62312621,-5.9648567,6.2762562,3.6998413,0.59675791
-329.06697,-1.9464408,-5.0671357,5.8251295,3.8898077,0.64617266
-327.74863,-0.69423471,-6.0247215,5.759387,3.6027583,0.57878761
-327.51251,-0.45837787,-5.335856,6.2119086,3.7184597,0.60861551
-327.79708,-0.79606664,-4.7823712,6.6082355,3.6268632,0.58197555
-328.48691,-1.5469739,-7.0871534,6.0165064,3.6012068,0.59903548
-327.3157,-0.27591824,-5.1439228,6.3684415,3.6370925,0.56870678
-328.86368,-1.7674598,-4.4573875,5.9089847,3.8930259,0.63831933
-330.7521,-4.0346923,-6.2775115,6.7876651,3.8702333,0.65489448
-328.2322,-1.1896069,-4.7275777,6.3002688,3.5205104,0.52915426
-328.87453,-1.8324603,-4.0147021,6.0106405,3.9051511,0.60867549
-328.32082,-1.2599726,-4.5473175,6.82624,3.9822636,0.58397212
-328.5107,-1.5185985,-4.1367769,6.4726131,3.5497005,0.52818648
-333.47384,-4.3078925,-8.4256762,4.6785863,3.23664,0.59559501
-327.32248,-0.26325164,-4.8399772,5.7232936,3.3464758,0.56409916
-329.64773,-2.082447,-7.1299051,5.0281688,2.9931485,0.55153145
-329.33472,-2.3206289,-6.7370695,5.88821,3.7267788,0.57331011
-331.03311,-3.5916447,-3.5121911,5.1771862,3.500081,0.56772719
-328.47594,-1.3986848,-4.0647898,5.5532554,3.6113501,0.58654262
-328.89924,-1.8709727,-6.1802681,5.479462,3.1436136,0.51297113
-327.57023,-0.50224445,-4.9345433,5.4923928,3.2625783,0.55122472
-327.71925,-0.69967472,-6.3087008,6.0765568,3.5083858,0.58608779
-328.50564,-1.4652978,-6.8932096,6.0546571,3.3900267,0.56927177
-331.00093,-3.1153212,-6.9575465,4.5499003,3.0138741,0.60703582
-327.58776,-0.54253223,-4.9136878,5.8135968,3.329579,0.5411912
-328.61323,-1.557006,-5.519926,5.7529119,3.8052429,0.60791923
-328.07014,-1.0026105,-6.6121742,5.96182,3.3703095,0.56625599
-329.23639,-2.2824159,-4.5784938,7.2973324,4.1802639,0.62300362
-327.92491,-0.98490478,-5.9970555,6.5312169,3.6904318,0.56266137
-328.82124,-2.1697251,-5.6385596,7.3310035,3.930805,0.58422039
-330.09672,-2.9941238,-6.0253628,6.3471595,3.6956731,0.52718153
-329.21883,-2.1770212,-5.306292,6.9792333,4.1584178,0.61914028
-327.79634,-0.85691016,-6.1117275,6.4657932,3.6487061,0.57033197
-329.08822,-1.7551664,-5.6098919,4.7722477,3.2283242,0.57468941
-328.49569,-1.5985653,-5.4891367,6.9576087,3.7390063,0.54656897
-327.49371,-0.43848568,-5.066926,5.5476503,3.5326902,0.58521981
-328.5873,-1.556974,-4.6419315,5.7135289,3.1774388,0.52095028
-328.17314,-1.1406057,-5.7237106,6.0430936,3.4010438,0.52687631
-330.47249,-3.4685361,-3.56555,6.3675579,3.9579882,0.67184917
-329.24836,-2.3675019,-7.6409214,6.0767669,3.5407735,0.56938308
-327.1178,-0.064698043,-5.4156329,5.9282015,3.4554292,0.568231
-328.89983,-2.1291109,-4.0848952,7.1324365,3.768549,0.59335794
-330.13604,-2.5680782,-7.3843306,5.2212368,3.0181995,0.55851009
-328.03038,-0.79256479,-6.4963423,5.1762504,3.2058589,0.56753289
-329.17371,-1.9498145,-6.5580083,5.076446,3.4556957,0.63061513
-327.75346,-0.77728032,-4.1352818,6.5736349,3.8343853,0.60106115
-329.79754,-2.7184636,-3.8378751,6.2072328,3.2530239,0.55050268
-327.8002,-0.68829639,-6.4214241,5.5644367,3.3139651,0.58362973
-328.29675,-1.4561524,-4.5075204,7.2083926,3.8865194,0.58200219
-327.32464,-0.27141918,-5.5561613,5.8474587,3.4452371,0.55402978
-327.50093,-0.44365463,-4.8008205,6.1697912,3.6163229,0.55790877
-331.23959,-4.1644644,-4.2470638,6.6811592,3.2844331,0.54880189
-329.93496,-2.3743535,-6.2793367,4.5716677,3.1005481,0.60510877
-328.3023,-1.1592359,-6.85282,5.7667997,3.2960016,0.56229914
-328.3346,-1.3554466,-5.9688773,6.4715118,3.5025525,0.5355929
-327.8108,-0.74677578,-4.7035022,5.9677543,3.6753745,0.62333137
-328.53401,-1.1755647,-6.7981002,5.0891419,3.2994992,0.58470574
-331.66849,-3.2502744,-7.8962378,4.9132846,3.1008706,0.53735452
-328.32902,-1.2624364,-5.3133865,5.4821018,3.5888022,0.57742817
-329.26832,-2.3987215,-5.994198,6.9037991,3.9901382,0.57139509
-329.97925,-2.2637039,-7.2240944,4.9928325,3.0463038,0.53243445
-329.09841,-2.1974157,-5.8786315,6.8814484,3.5330906,0.53456627
-328.4524,-1.2426484,-7.0618737,5.6026674,3.3221662,0.58173865
-328.58981,-1.2750553,-4.480455,5.0670199,3.2688424,0.58626536
-328.20362,-1.1384943,-5.5850511,5.1615507,3.1019618,0.5367684
-329.13897,-2.0045631,-5.2708787,5.951941,3.5623178,0.52946482
-327.9602,-0.90458288,-4.7100953,6.0730055,3.5061801,0.53699051
-327.74793,-0.6659215,-4.6541007,5.5121071,3.4631107,0.60813973
-331.263,-3.7312418,-3.8722535,5.1673535,3.2869457,0.52407415
-329.05701,-1.9783502,-3.7213173,6.0112786,3.2899933,0.52526675
-328.34316,-1.3527935,-4.1235837,6.2142993,3.4861885,0.59393111
-327.68968,-0.70005081,-5.5182211,6.5930669,3.6355815,0.56495493
-327.42281,-0.38237999,-4.525362,6.1455498,3.5183994,0.55450085
-328.33838,-1.3738874,-5.5028764,6.6106202,3.6294851,0.59762062
-329.26344,-2.057665,-4.1961606,5.4355447,3.0824576,0.53240511
-327.24865,-0.19581,-4.6847165,5.9307817,3.4511194,0.57453447
-329.60847,-2.9588457,-5.199264,7.4006004,3.8803798,0.60682417
-330.7171,-4.2249415,-1.8208796,6.1389416,3.6912288,0.61211693
-328.75328,-1.6807168,-4.2397211,5.9160423,3.7308486,0.64465685
-328.92129,-1.7545389,-3.9377286,5.7171471,3.1947618,0.53828212
-327.81827,-0.80749159,-6.6059895,6.0296572,3.5194868,0.57086841
-331.42175,-3.9920712,-2.0399459,5.6686936,3.411591,0.57018788
-330.02253,-3.3837014,-2.5940698,6.3189074,4.0299905,0.62048663
-329.00736,-2.0253704,-7.2160302,5.8659417,3.6201286,0.61963314
-327.45737,-0.46638743,-4.1626851,6.3836391,3.6738984,0.5744587
-327.34975,-0.28890146,-5.8414786,5.6043456,3.509506,0.59399246
-328.96326,-2.1289183,-3.1543036,6.2665233,3.9251745,0.62116997
-327.81038,-0.75339948,-5.7962275,5.6517025,3.603927,0.58259391
-328.6027,-1.6495898,-6.3066171,6.3718452,3.5460155,0.53462466
-328.47599,-1.4427599,-5.5986372,6.6095928,3.9541165,0.58906992
-327.78266,-0.70525626,-6.2127747,5.708052,3.3272739,0.54330374
-329.17069,-1.6711678,-6.6912768,4.8762381,3.0702551,0.54682566
-327.33771,-0.2755834,-5.927537,5.6473685,3.5054645,0.58431143
-328.45838,-1.3895666,-5.0472864,5.6503699,3.7585368,0.63201978
-328.39072,-1.609644,-3.7743001,6.9867189,3.7449675,0.58112139
-328.11278,-1.0320329,-6.8830735,5.737181,3.5078732,0.59552802
-329.3516,-2.0570665,-5.3183674,4.7710572,3.320898,0.60979359
-328.68102,-1.6800742,-4.0771056,6.5954009,3.4487498,0.54502185
-328.20019,-1.1052804,-5.1552151,6.0505186,3.8692239,0.61706777
-328.12309,-0.97732473,-6.6479342,5.5903465,3.263742,0.57432679
-328.56587,-1.6173802,-6.7011536,6.04307,3.7309351,0.62216762
-327.77873,-0.74229777,-5.0156654,6.6371295,3.822647,0.57365066
-329.97026,-2.5643172,-5.9939732,4.6488861,3.3013819,0.59877605
-328.58149,-1.5856404,-5.988337,5.381897,3.1784559,0.59380723
-331.72017,-5.231814,-5.6292809,7.8955144,4.4859198,0.64405207
-328.98882,-2.2758438,-5.0718069,7.4548353,3.8317483,0.55798526
-328.50896,-1.4529012,-4.3366891,5.5580233,3.6945882,0.6211404
-327.51389,-0.47043739,-4.979272,6.4616086,3.7183845,0.56730522
-327.89875,-0.86520545,-5.2605133,6.3634046,3.7064027,0.61538677
-330.14716,-2.9404287,-6.2859061,4.9935888,3.4953258,0.65722252
-328.56505,-1.5368492,-5.7718666,6.4989077,3.431181,0.56028192
-329.4466,-2.0632083,-3.997682,5.1421294,3.3752928,0.5673402
-328.29694,-1.2444251,-5.2036613,6.7157405,3.9932335,0.608919
-328.22786,-1.0026118,-6.1575488,4.9732338,3.1246449,0.5684789
-328.59038,-1.571259,-6.1720279,5.567408,3.260037,0.59991271
-328.96059,-1.6273797,-6.3106555,4.8379846,3.0126961,0.54610376
-332.76931,-5.6730328,-3.790447,5.9369128,2.9808034,0.48211966
-329.46313,-2.3335477,-5.6203229,5.7182771,3.4548884,0.52215927
-330.02821,-2.9446247,-4.3643446,5.6235342,3.020214,0.52809564
-329.13956,-2.0184675,-4.614259,5.6910422,3.7554817,0.65548392
-331.10045,-4.224359,-4.6864153,6.0286516,3.0934309,0.4803163
-327.30807,-0.23941397,-4.7625425,5.5833232,3.4486896,0.58515748
-327.60227,-0.54212026,-5.9606397,5.8513079,3.3137115,0.55492839
-332.01272,-3.5820644,-8.4327698,5.0391622,3.2495973,0.60206278
-332.16843,-5.0356855,-5.8096621,6.6476095,3.1564295,0.50044495
-329.49319,-1.9751729,-6.3824681,4.6515224,3.098262,0.59511292
-328.3851,-1.3691234,-4.0093548,6.7524464,3.9979691,0.59191063
-328.86195,-1.5712653,-6.3419065,5.0250028,3.2940639,0.56003781
-329.54671,-2.4806175,-6.0290894,5.2586606,3.1306341,0.50786956
-330.50384,-3.515356,-6.7571348,6.2417226,3.6091144,0.52216246
-332.60226,-4.713116,-8.401585,5.2348904,3.3479316,0.63807756
-329.77464,-2.6325105,-4.5981484,5.3427449,3.2083342,0.51126322
-331.35762,-4.9094344,-5.7657999,7.5256687,3.7203584,0.59422457
-331.44836,-4.1568641,-6.0783485,5.9436767,3.7857801,0.54511585
-328.3175,-1.1880664,-6.6918607,5.6693974,3.4062084,0.54825231
-331.22635,-3.4417731,-2.9374689,5.1548256,3.4154187,0.60757814
-329.79283,-2.5936121,-5.1492702,4.9241389,3.010008,0.5164439
-327.31185,-0.26301755,-5.1921307,5.6751806,3.3384201,0.55261599
-329.01945,-2.0143675,-5.4767422,6.4677359,3.4001387,0.51344767
-327.96473,-0.94037456,-6.4176834,6.0361997,3.4716001,0.58978743
-328.55057,-1.4624976,-4.6312638,5.9856757,3.7339092,0.64363542
-328.3912,-1.3243616,-4.5377543,5.8338494,3.7638688,0.58872231
-330.32179,-3.0936251,-5.4347658,6.3366117,4.1580091,0.65840831
-329.83826,-2.7542742,-7.3468147,5.5065057,3.6757074,0.62180136
-329.13307,-2.12758,-3.2905416,5.7241934,3.7145184,0.61989097
-331.99695,-3.9319174,-7.809887,5.0701693,2.8868161,0.54458884
-329.12564,-2.1421451,-3.268576,6.1916936,3.4080322,0.53069461
-327.29235,-0.23802095,-5.3226604,6.043856,3.6241182,0.60141702
-327.36528,-0.33792242,-4.3687441,6.2156084,3.6950643,0.58423692
-330.50203,-3.5678436,-5.4860498,6.9605203,3.4388074,0.50233143
-328.47434,-1.4477334,-4.4681719,6.3964722,3.7784505,0.63289169
-328.59671,-1.6136702,-4.5237165,6.4802165,3.7119531,0.62523238
-329.09669,-2.2664038,-3.8585678,7.0846691,3.7151056,0.53040032
-331.51975,-4.3456901,-6.1979879,6.1566136,3.9839029,0.69250238
-327.83962,-0.80727999,-4.1146493,6.1044154,3.4437212,0.57412416
-328.94647,-1.919573,-4.0015671,5.7742932,3.810782,0.60360596
-330.57321,-3.5613791,-3.7059298,7.4832682,4.4084506,0.63564296
-327.35473,-0.31914042,-4.8862571,6.3812586,3.5943071,0.57532775
-330.12554,-2.4824323,-7.3286447,4.9410769,3.3197457,0.62208818
-328.91569,-1.9338107,-3.4812166,6.1206998,3.4340448,0.58661976
-328.97739,-2.1595834,-5.631465,6.9885449,3.893307,0.62013263
-328.66656,-1.8477816,-3.0087799,6.3506299,3.5477071,0.57112576
-328.5992,-1.6704112,-4.3468166,6.8791213,3.6041874,0.57160276
-328.15867,-1.0813934,-6.2699172,5.5683865,3.5804116,0.62359116
-328.87122,-1.7660305,-5.2000699,6.4106397,3.8960324,0.64702315
-328.32211,-1.4307341,-3.4587477,6.4208251,3.6978681,0.5547174
-329.00186,-2.1442403,-6.9966939,6.3145976,3.5516544,0.54274691
-327.2397,-0.18620279,-5.4285695,5.9616561,3.4127116,0.56297807
-329.05458,-1.9735116,-3.9666619,5.6876119,3.5982866,0.640015
-328.72406,-1.7582427,-5.6822928,6.647509,3.5660185,0.52707172
-327.8627,-0.83415451,-4.1588885,6.0799506,3.7902623,0.60540055
-329.72116,-2.7235452,-3.3395201,5.924589,3.7933587,0.57407936
-328.27713,-1.2555563,-6.2511044,6.1146448,3.5895668,0.54858621
-328.54917,-1.501853,-5.0425358,5.4109826,3.6671903,0.62572961
-329.52186,-2.4046593,-2.928643,5.6440817,3.5786118,0.6085016
-327.60649,-0.60500283,-4.371502,6.5348556,3.7904522,0.59825628
-328.0174,-0.95915324,-6.5759403,5.6884319,3.5900539,0.60378704
-331.0678,-2.7067262,-7.4085872,4.6420162,3.0265474,0.55260094
-329.99377,-2.1595457,-7.1053876,4.7432752,3.010124,0.57440283
-328.22835,-1.2342464,-3.9490481,6.0801888,3.5333828,0.60480161
-328.0035,-0.94155657,-6.0088756,5.6845503,3.5341125,0.62311252
-332.12109,-5.1280242,-5.4724962,6.6710483,3.5248574,0.48180975
-330.00844,-3.0591794,-5.1301472,6.1391305,3.2650936,0.58555771
-328.4211,-1.3592467,-4.019547,5.7688711,3.4474117,0.60838501
-330.00219,-2.6991694,-3.3035902,5.627706,3.2584815,0.5831395
-329.24015,-2.2954072,-4.858451,6.5792897,3.5514654,0.60520787
-329.86635,-2.7458193,-4.8086021,7.1557567,4.2743618,0.63576021
-330.07645,-2.3808826,-7.0388621,4.9173855,3.1413593,0.53853513
-327.8027,-0.75943737,-5.4549083,6.2106563,3.4155868,0.53831274
-328.15334,-1.2889898,-4.221421,7.1153117,3.8918957,0.57823538
