rank,formula,predicted_freesolv,predictive_sd,target_error,bayesian_credible_score_percent,score,atoms,heavy_atoms,edges,dietz_bonding_systems,min_bond_length_angstrom,max_bond_length_angstrom,min_nonbonded_distance_angstrom,min_bond_angle_degrees,seed_molecule,random_seed,target_freesolv
57,C4H10ClNO2,-4.7496186290325175,2.101347293469541,0.2503813709674825,42.722890128757626,-0.8504353407977777,18,8,17,17,1.0099999999999998,1.7699999999999998,1.428355697996826,70.52877936550931,water,0,-5.0
58,C2H6O3,-5.990052034145794,1.9146425407917063,0.9900520341457941,41.67887997197687,-0.8751756609775322,11,5,10,10,0.96,1.48,1.5132085117392116,90.0,water,0,-5.0
59,C10H15NO,-5.692383990409926,2.0928465127556937,0.692383990409926,41.23436262100323,-0.8858982330550917,27,12,27,28,0.96,2.1453170846329614,1.4514641951787524,78.6338856163236,water,0,-5.0
60,C9H20O2,-3.733566792086128,1.7261688375768154,1.266433207913872,40.979247674586446,-0.8921044017014803,31,11,30,30,1.0699999999999998,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
61,H2O2,-5.898733245272843,2.0204398996889927,0.8987332452728429,40.969759018220344,-0.8923359763548273,4,2,3,3,0.9599999999999997,1.48,2.4399999999999995,180.0,water,0,-5.0
62,C9H12Cl2N2O,-5.6159715373155,2.143894406700851,0.6159715373154997,40.86277424795416,-1.094950702477772,26,14,26,27,1.0099999999999996,2.1453170846329614,1.5132085117392116,80.38284118773345,water,0,-5.0
63,C3H8O3,-4.635215175255449,2.2181357800276618,0.3647848247445511,40.63999508476404,-0.9004175036636389,14,6,13,13,0.96,1.5400000000000003,1.5132085117392116,70.52877936550931,water,0,-5.0
64,C10H13Cl2NO,-3.573903353571706,1.5391078756417076,1.4260966464282938,40.287357698269396,-1.1091324710086679,27,14,27,28,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
65,CH3ClO,-3.484741952442945,0.886522975351966,1.515258047557055,39.34605381975919,-0.9327745002764873,6,3,5,5,1.0699999999999998,1.69,1.5132085117392113,90.0,water,0,-5.0
66,CH3FO,-3.484741952442945,0.886522975351966,1.515258047557055,39.34605381975919,-0.9327745002764873,6,3,5,5,1.0699999999999998,1.48,1.5132085117392113,90.0,water,0,-5.0
67,C11H17NO,-4.688528939318869,2.353363175888388,0.3114710606811313,38.81905746024583,-1.0462588882883572,30,13,30,31,0.96,2.1453170846329614,1.4700000000000002,78.6338856163236,water,0,-5.0
68,C8H18O2,-3.4384295512880927,1.3761485344446842,1.5615704487119073,38.57302262558088,-0.9526170495691058,28,10,27,27,1.0699999999999998,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
69,C3H6ClF2NO,-3.422711256505497,1.2338797211098176,1.577288743494503,38.45217543122206,-0.9557549134516945,14,8,13,13,1.0699999999999998,1.69,1.5132085117392116,82.04331282049797,water,0,-5.0
70,C7H6Cl2FNO3,-6.510729654529814,1.6837190824798434,1.510729654529814,37.92186123386616,-1.1696424266342338,20,14,20,21,0.96,2.1453170846329614,1.4758929877262337,87.20792430092669,water,0,-5.0
71,C9H10Cl2FNO,-3.441256997700836,1.555958941610773,1.5587430022991642,37.90529762212761,-1.1700793047199194,24,14,24,25,1.01,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
72,C9H12ClNO2,-4.754768041531894,2.429778941871064,0.2452319584681062,37.89339676278269,-1.0703933169740694,25,13,25,26,0.96,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
73,C6H14ClNO,-3.477518505014728,1.6646666654210855,1.5224814949852719,37.869850974877686,-0.9710148792583206,23,9,22,22,1.0699999999999998,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
74,C9H13ClN2O,-6.196116760724597,2.1007976085292075,1.196116760724597,37.65971621815007,-1.076579198152583,26,13,26,27,1.0099999999999996,2.1453170846329614,1.5132085117392116,80.38284118773345,water,0,-5.0
75,C5H13NO2,-5.294335680592863,2.469574553412547,0.2943356805928632,37.304181791460294,-0.9860647532508541,21,8,20,20,1.0099999999999998,1.5400000000000003,1.428355697996826,70.52877936550931,water,0,-5.0
76,C7H16O2,-3.361244239348708,1.2570636198094995,1.638755760651292,36.99665276055302,-0.9943427433671557,25,9,24,24,1.0699999999999998,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
77,C3H7ClO3,-4.02570378409977,2.299595534197139,0.97429621590023,36.979285683898354,-0.9948122764974927,14,7,13,13,0.96,1.7699999999999998,1.4604234298624146,70.52877936550931,water,0,-5.0
78,C11H17NO,-4.868155880303477,2.5431696552784833,0.131844119696523,36.551126046646516,-1.106458191877091,30,13,30,31,0.96,2.1453170846329614,1.2838726497987898,70.52877936550931,water,0,-5.0
79,C2H6O3,-4.141469244785914,2.4067151409481,0.858530755214086,36.343621035566635,-1.0121514847379323,11,5,10,10,0.96,1.5400000000000003,1.5132085117392116,90.0,water,0,-5.0
80,C2H6FNO2,-6.667317817525929,1.234398906059527,1.6673178175259293,36.28990155693947,-1.013630677444128,12,6,11,11,0.9600000000000001,1.48,1.4399194212720876,79.86825719601678,water,0,-5.0
81,C3H6F3NO,-3.3284736028286184,1.2297068490351573,1.6715263971713816,36.179906163589436,-1.016666299623271,14,8,13,13,1.0699999999999998,1.54,1.5132085117392116,82.04331282049797,water,0,-5.0
82,C5H11ClFNO,-3.3458667432633797,1.5998142280084684,1.6541332567366203,36.09006214545369,-1.0191526453771684,20,9,19,19,1.0699999999999998,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
83,C7H16ClNO2,-4.779058133365512,2.5931832460376083,0.22094186663448756,35.86656328622342,-1.0253647092870366,27,11,26,26,0.96,1.69,1.3672126973992094,72.46547495725996,water,0,-5.0
84,C10H15NO2,-5.384824502595133,2.5933862303629254,0.3848245025951327,35.63444652763716,-1.1318574168614237,28,13,28,29,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
85,C3H8ClNO3,-4.230322238048043,2.502193022563366,0.7696777619519573,35.62756953281616,-1.032050422763376,16,8,15,15,1.0099999999999998,1.7699999999999998,1.428355697996826,70.52877936550931,water,0,-5.0
86,C10H14FNO2,-4.864023705348639,2.6214975371841285,0.1359762946513614,35.59922682905171,-1.2328462666510163,28,14,28,29,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
87,C9H11Cl2NO2,-4.139488661588533,2.523751971927731,0.8605113384114667,35.032160505362576,-1.248903674820951,25,14,25,26,0.96,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
88,CH4ClNO3,-3.8089811235397675,2.3727881861618396,1.1910188764602325,34.89636333026944,-1.0527875647802514,10,6,9,9,0.96,1.4800000000000002,1.5132085117392116,90.0,water,0,-5.0
89,CH4FNO2,-6.751461569294071,1.2945258527672137,1.7514615692940714,34.46109010542048,-1.0653393214530587,9,5,8,8,0.9599999999999999,1.47,1.5132085117392113,89.99999999999997,water,0,-5.0
90,C10H14Cl2N2,-4.448881298995371,2.702842807836547,0.5511187010046292,34.0705847825707,-1.2767357903130996,28,14,28,29,1.0099999999999996,2.1453170846329614,1.5132085117392116,78.6338856163236,water,0,-5.0
91,Cl2FN,-3.209751717569724,1.375550042006012,1.7902482824302761,33.787324967671154,-1.085084454786035,4,4,3,3,1.43,1.75,2.2599557517792244,90.0,water,0,-5.0
92,C12H19NO,-4.009871570447248,2.60475367206849,0.9901284295527519,33.65363164915617,-1.2890492115259173,33,14,33,34,0.96,2.1453170846329614,1.4700000000000002,78.6338856163236,water,0,-5.0
93,C7H15Cl2NO2,-3.897082605278972,2.587814222753505,1.102917394721028,33.30632186334652,-1.0994229612739748,27,12,26,26,0.96,1.7699999999999998,1.3672126973992094,72.46547495725996,water,0,-5.0
94,C8H9Cl2FN2O,-5.472240133066054,2.8271251034127354,0.4722401330660544,32.936040874871445,-1.3106026604819256,23,14,23,24,1.0099999999999998,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
95,C8H10Cl2N2O,-5.985744569461224,2.6922708061917318,0.9857445694612244,32.8273779846424,-1.2139073241081173,23,13,23,24,1.0099999999999998,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
96,C8H9ClFNO3,-6.830329884886813,1.7736967894874662,1.8303298848868126,32.788614953994205,-1.315088835914051,23,14,23,24,0.96,2.1453170846329614,1.4758929877262337,87.20792430092669,water,0,-5.0
97,CH4O,-3.1914306143784614,1.1121341143018741,1.8085693856215386,32.184665507153596,-1.133680073355489,6,2,5,5,0.96,1.43,1.5132085117392113,90.0,water,0,-5.0
98,C7H16FNO,-3.1630425003231686,1.9550169903271253,1.8369574996768314,32.09419935324205,-1.1364948776878068,26,10,25,25,1.0699999999999998,1.69,1.3672126973992094,78.18055869410645,water,0,-5.0
99,C7H16ClNO,-3.150476826747738,1.934526871099201,1.849523173252262,32.01626868583425,-1.1389260159457262,26,10,25,25,1.0699999999999998,1.69,1.3672126973992094,72.46547495725996,water,0,-5.0
100,CH4O3,-3.472290564260206,2.459642584449013,1.5277094357397938,31.91701786927498,-1.1420308429189114,8,4,7,7,0.96,1.4800000000000002,1.5132085117392116,90.0,water,0,-5.0
101,HClFNO3,-3.487265259738103,2.4854240051983387,1.5127347402618971,31.82620704968948,-1.1448801145438439,7,6,6,6,0.9600000000000002,1.48,2.294963727479426,112.49999999999999,water,0,-5.0
102,C9H19FO2,-3.089186160509882,1.7235417962035098,1.910813839490118,31.687777428106656,-1.149239149547389,31,12,30,30,1.0699999999999998,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
103,C4H9Cl2NO3,-6.220774049117636,2.7635933091750395,1.2207740491176358,31.213401215913645,-1.1643226572415273,19,10,18,18,1.0099999999999998,1.7699999999999998,1.5132085117392116,77.06785961228879,water,0,-5.0
104,C11H16ClN,-3.0575072581413356,1.5771526444914699,1.9424927418586644,31.174635411117833,-1.2655653894023955,29,13,29,30,1.01,2.1453170846329614,1.0526758119474124,70.52877936550931,water,0,-5.0
105,C8H18ClNO2,-4.262738980859733,2.971164537813234,0.7372610191402673,31.028552965827043,-1.1702623420077916,30,12,29,29,0.96,1.7699999999999998,1.3672126973992094,72.46547495725996,water,0,-5.0
106,C11H15FO2,-6.900498195262268,2.0667092951723705,1.9004981952622684,30.920895622294676,-1.3737379968961754,29,14,29,30,0.9600000000000001,2.1453170846329614,1.1637013535555436,65.88344040719107,water,0,-5.0
107,C9H12Cl2N2O,-5.4384474134631455,3.067894495416655,0.43844741346314553,30.70606903774044,-1.3807098624069942,26,14,26,27,1.0099999999999998,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
108,C9H12Cl2N2O,-5.439541369005785,3.102087909752213,0.4395413690057852,30.403826625075,-1.3906017096727767,26,14,26,27,1.0099999999999998,2.1453170846329614,1.428355697996826,70.52877936550931,water,0,-5.0
109,C11H16ClN,-2.9727793617036204,1.7067427115982934,2.0272206382963796,29.90104504097791,-1.3072767549989552,29,13,29,30,1.01,2.1453170846329614,1.2838726497987898,70.52877936550931,water,0,-5.0
110,C10H13Cl2N,-2.9744830282403156,1.4237695993422281,2.0255169717596844,29.18643049625161,-1.3314662937570407,26,13,26,27,1.01,2.1453170846329614,1.2838726497987898,70.52877936550931,water,0,-5.0
111,C9H14N2O,-6.352899121207469,2.9696822484365404,1.3528991212074688,29.072893037821736,-1.235363956664154,26,12,26,27,0.96,2.1453170846329614,1.4514641951787524,78.6338856163236,water,0,-5.0
112,C10H15ClN2O,-5.4025819727417135,3.298125032128018,0.4025819727417135,28.818549388004435,-1.4441509302017255,29,14,29,30,0.96,2.1453170846329614,1.5132085117392116,78.6338856163236,water,0,-5.0
113,C9H21NO2,-4.149413436479375,3.2711793023226554,0.8505865635206247,28.3444842214771,-1.2607377348325908,33,12,32,32,1.0099999999999998,1.7700000000000002,1.1099776228500409,62.48765192554867,water,0,-5.0
114,C3H6ClFO3,-2.9345228645323354,2.34318530819399,2.0654771354676646,28.257268068745482,-1.2638194847158826,14,8,13,13,0.96,1.7699999999999998,1.4604234298624146,70.52877936550931,water,0,-5.0
115,H2O3,-6.37148045482419,3.1394035683937065,1.37148045482419,27.831947194596275,-1.2789856454312725,5,3,4,4,0.96,1.4800000000000002,2.3600000000000003,180.0,water,0,-5.0
116,C6H13ClFNO,-2.820715340928861,1.8308608500593533,2.179284659071139,27.777029487692396,-1.2809607842679844,23,10,22,22,1.0699999999999998,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
117,C9H18FNO3,-5.554928905335755,3.452530029124264,0.5549289053357551,27.49119835124254,-1.4913042925005011,32,14,32,32,1.01,2.1535247916774582,1.4166964306462908,59.660831900607704,water,0,-5.0
118,C11H16O2,-7.207916133004204,1.9574530537627068,2.207916133004204,27.47018153949926,-1.3920690772569775,29,13,29,30,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
119,C10H15FN2O,-5.255372247048518,3.4912868837034,0.255372247048518,27.46748974047528,-1.492167071910315,29,14,29,30,0.9600000000000001,2.1453170846329614,1.5132085117392116,78.6338856163236,water,0,-5.0
120,C3H7ClO4,-3.42194334207785,3.101322564451288,1.5780566579221502,27.292760512361582,-1.298548701661704,15,8,14,14,1.0699999999999998,1.6900000000000004,1.5132085117392116,90.0,water,0,-5.0
121,C7H14ClF2NO2,-3.7210755854628084,3.3695292658208973,1.2789244145371916,26.62872965212582,-1.423179490937889,27,13,26,26,1.01,1.6900000000000004,1.344696418535967,77.85887365582464,water,0,-5.0
122,C11H23NO2,-4.007349485236785,3.515151071895318,0.9926505147632154,26.371642024139796,-1.5328809189176018,37,14,37,37,1.01,2.1535247916774582,1.2761269409685447,59.660831900607704,water,0,-5.0
123,C4H8ClF2NO,-2.8660176674938356,1.3210542759000026,2.1339823325061644,26.332800579241233,-1.3343548535618868,17,9,16,16,1.0699999999999998,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
124,C6H13ClFNO,-2.7377970052988405,1.6806340315056807,2.2622029947011595,26.190789780338182,-1.3397623721255845,23,10,22,22,1.0699999999999998,1.69,1.3672126973992094,79.41737012748415,water,0,-5.0
125,C6H12ClF2NO3,-5.15719291714224,3.6917682933500746,0.1571929171422397,26.12303491521707,-1.4423526970884584,25,13,24,24,1.01,1.6900000000000004,1.4800000000000002,75.04643007626971,water,0,-5.0
126,C6H11Cl2F2NO2,-2.9693207010691536,3.0064507445615924,2.0306792989308464,25.701695251869822,-1.4586132331546122,24,13,23,23,1.01,1.6900000000000004,1.344696418535967,77.85887365582464,water,0,-5.0
127,C9H19NO3,-6.25044815830655,3.549571668299734,1.2504481583065497,25.60190699225989,-1.4625033453918053,32,13,32,32,1.01,2.1535247916774582,1.3530631344339095,59.660831900607704,water,0,-5.0
128,C11H18N2O,-5.439149679699831,3.761764772771616,0.4391496796998311,25.528019922217542,-1.5653935166059374,32,14,32,33,0.9600000000000001,2.1453170846329614,1.3466224217407503,77.99151040078642,water,0,-5.0
129,C3H7Cl2NO4,-6.816389288990585,3.2458280034674516,1.8163892889905853,25.51977409859438,-1.365716579486638,17,10,16,16,1.0099999999999998,1.7699999999999998,1.5132085117392116,77.06785961228879,water,0,-5.0
130,C2H5ClO4,-2.855253654565563,2.9278295153760907,2.144746345434437,25.418142679387763,-1.3697069882231805,12,7,11,11,1.0699999999999998,1.6900000000000004,1.5132085117392113,90.0,water,0,-5.0
131,C10H14FNO2,-5.602216005652895,3.779964920205731,0.6022160056528953,25.27386119094124,-1.5753994788348715,28,14,28,29,0.9600000000000001,2.1453170846329614,1.5132085117392118,78.6338856163236,water,0,-5.0
132,CH4FNO,-7.037862713324239,1.0106465373391305,2.0378627133242393,25.179922223391817,-1.3791232462014495,8,4,7,7,1.0099999999999998,1.47,1.5132085117392113,89.99999999999997,water,0,-5.0
133,C10H23NO2,-4.196919697560547,3.7790674660253276,0.8030803024394526,25.046935011790882,-1.4844187207619064,36,13,35,35,1.0099999999999998,1.7700000000000002,1.4347161420619652,70.52877936550931,water,0,-5.0
